[2020-09-10 15:12:49.190] Starting up round ID .
 - -------------------------
[2020-09-10 15:51:41.086] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:52:49.124] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I&#39;d rather toolbox than switch." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:52:57.125] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Try our new nougat bar!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:53:01.126] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Try our new nougat bar!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:53:03.124] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I&#39;d rather toolbox than switch." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:53:35.128] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Twice the calories for half the price!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:53:49.123] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I&#39;d rather toolbox than switch." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:53:59.165] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I&#39;d rather toolbox than switch." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:55:23.206] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Try our new nougat bar!" (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:57:01.483] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I&#39;d rather toolbox than switch." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
[2020-09-10 15:57:07.493] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "I&#39;d rather toolbox than switch." (language: Galactic Common) (Chief Engineer's Office (118, 83, 2))
