[2020-08-26 01:04:58.672] Starting up round ID .
 - -------------------------
[2020-08-26 01:06:54.328] TCOMMS: The �Automated Announcement System [Common] (spans: robot ) "Cockmistress has signed up as Captain" (language: Galactic Common) (Telecomms Control Room (107, 93, 2))
[2020-08-26 01:36:55.183] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:37:05.183] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:37:23.187] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:37:27.182] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:38:49.183] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:39:01.184] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:39:03.185] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:40:01.184] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:40:05.183] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:40:17.291] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:40:35.291] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:42:09.288] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:42:15.620] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:42:21.622] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:42:45.621] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Wire the solars, you lazy bums!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:42:57.621] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:43:15.912] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:43:35.910] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:43:53.933] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Check the crystal, you chucklefucks!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:43:59.933] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:44:16.227] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "OH GOD ITS ABOUT TO DELAMINATE CALL THE SHUTTLE" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:44:34.227] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "Poly wanna cracker!" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:45:04.238] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:45:14.569] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "What are you before me?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
[2020-08-26 01:45:42.569] TCOMMS: *no key*/(Poly) [Engineering] (spans:  ) "WHO TOOK THE DAMN HARDSUITS?" (language: Galactic Common) (Chief Engineer's Office (115, 83, 2))
