[2020-08-28 04:02:40.776] Starting up round ID .
 - -------------------------
[2020-08-28 04:13:33.535] Logs from logging subsystem:
 - (2020-08-28 01:09:02) ATTACK: *no key*/(Alberto Edry) has suffered: Hip Dislocation to groin | Damage: 8.8(rolled 10/21.0027) (Tiny Freighter (119, 72, 3))
 - (2020-08-28 01:09:18) ATTACK: *no key*/(Skylar Clark) has suffered: Rib Dislocation to chest | Damage: 9(rolled 21/21.674) (Small Freighter (56, 75, 3))
 - (2020-08-28 01:09:18) ATTACK: *no key*/(Jo Jo Bobo Bo) has suffered: Second Degree Burns to left foot | Damage: 10.8(rolled 26/27.9765) (Unexplored Location (203, 119, 8))
 - (2020-08-28 01:09:22) ATTACK: *no key*/(Topcake) has suffered: Catastrophic Burns to chest | Damage: 10.8(rolled 20/27.9765) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:09:26) ATTACK: *no key*/(Alberto Edry) has suffered: Third Degree Burns to groin | Damage: 10.8(rolled 21/27.9765) (Tiny Freighter (119, 72, 3))
 - (2020-08-28 01:09:32) ATTACK: *no key*/(Rokur Hurst) has suffered: Second Degree Burns to left leg | Damage: 10.8(rolled 27/27.9765) (Small Freighter (63, 73, 3))
 - (2020-08-28 01:09:43) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (110, 171, 2))
 - (2020-08-28 01:09:44) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (110, 171, 2))
 - (2020-08-28 01:09:44) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (110, 171, 2))
 - (2020-08-28 01:09:45) ATTACK: bobjoga/(Cockmistress) has suffered: Rough Abrasion to head | Damage: 10.5(rolled 26/26.8946) | WB: -5 | BWB: 10 (Brig (110, 171, 2))
 - (2020-08-28 01:09:45) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (110, 171, 2))
 - (2020-08-28 01:09:46) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (110, 171, 2))
 - (2020-08-28 01:09:47) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (110, 171, 2))
 - (2020-08-28 01:09:48) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (110, 171, 2))
 - (2020-08-28 01:09:55) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (112, 171, 2))
 - (2020-08-28 01:09:56) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (112, 171, 2))
 - (2020-08-28 01:09:58) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (111, 171, 2))
 - (2020-08-28 01:10:00) ATTACK: *no key*/(Alberto Edry) has suffered: Hairline Fracture to groin | Damage: 9.6(rolled 11/23.7236) (Tiny Freighter (119, 72, 3))
 - (2020-08-28 01:10:03) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (107, 171, 2))
 - (2020-08-28 01:10:04) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (109, 171, 2))
 - (2020-08-28 01:10:07) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (109, 170, 2))
 - (2020-08-28 01:10:08) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (109, 170, 2))
 - (2020-08-28 01:10:17) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (108, 170, 2))
 - (2020-08-28 01:10:24) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (107, 170, 2))
 - (2020-08-28 01:10:25) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 100)  (Brig (107, 170, 2))
 - (2020-08-28 01:10:30) ATTACK: *no key*/(Topcake) has suffered: Second Degree Burns to groin | Damage: 10.8(rolled 27/27.9765) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:10:30) ATTACK: *no key*/(Topcake) has suffered: Hairline Fracture to groin | Damage: 8.8(rolled 20/21.0027) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:10:34) ATTACK: *no key*/(Alberto Edry) has suffered: Second Degree Burns to left leg | Damage: 10.8(rolled 27/27.9765) (Tiny Freighter (119, 72, 3))
 - (2020-08-28 01:10:41) ATTACK: bobjoga/(Cockmistress) has suffered: Open Laceration to head | Damage: 16.5(rolled 47/50.6381) | WB: -5 | BWB: 10 (Brig (106, 170, 2))
 - (2020-08-28 01:10:41) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 95)  (Brig (106, 170, 2))
 - (2020-08-28 01:10:46) ATTACK: *no key*/(Skylar Clark) has suffered: Second Degree Burns to left arm | Damage: 10.8(rolled 26/27.9765) (Small Freighter (56, 75, 3))
 - (2020-08-28 01:10:48) ATTACK: *no key*/(Topcake) has suffered: Second Degree Burns to left leg | Damage: 10.8(rolled 27/27.9765) (Unexplored Location (201, 122, 8))
 - (2020-08-28 01:10:52) ATTACK: *no key*/(Skylar Clark) has suffered: Second Degree Burns to chest | Damage: 10.8(rolled 13/27.9765) (Small Freighter (56, 75, 3))
 - (2020-08-28 01:10:59) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 90)  (Brig (104, 169, 2))
 - (2020-08-28 01:11:03) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:03) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 72, 3))
 - (2020-08-28 01:11:04) ATTACK: bobjoga/(Cockmistress) has attacked bobjoga/(Cockmistress) with butcher's cleaver[DC] (INTENT: HELP) (DAMTYPE: BRUTE) (NEWHP: 88)  (Brig (104, 170, 2))
 - (2020-08-28 01:11:05) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:05) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 68, 3))
 - (2020-08-28 01:11:07) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:07) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:09) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:09) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:11) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:11) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:13) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:13) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:15) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:15) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:17) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:17) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:18) ATTACK: *no key*/(Rokur Hurst) has suffered: Second Degree Burns to right arm | Damage: 10.8(rolled 27/27.9765) (Small Freighter (63, 73, 3))
 - (2020-08-28 01:11:19) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
 - (2020-08-28 01:11:19) ATTACK: *no key*/(coder monkey (863)) has been shot by the turret with the laser (Space (101, 64, 3))
 - (2020-08-28 01:11:21) ATTACK: [turret] has fired at *no key*/(coder monkey (863)) with [laser] from Space (NEWHP: 100)  (Syndicate Drop Ship (105, 63, 3))
